x,y,name
10375.8690476,11.1300239954,'Diesel Iberia S.A.'
9888.07373998,2116.1325479,'Amgen *World Trade Center'
11172.0941605,-8.89437056204,'Botiga Furla *Oficines'
9505.92975662,1825.46007239,'Grup Kalise Menorquina'
10184.214674,-3457.48782466,'Sans Sons Representaciones'
8113.80500323,-2464.87697258,'Editorial Espasa Calpe  S.A.'
8538.08943979,-2113.86094028,'Unilever Foods España'
12615.5724227,1468.23836717,'Electro Stocks Catalunya SA'
10855.8836335,-2416.02131385,'ABB Automation Products SA'
12851.0843784,360.934883657,'Amer Picon S.A.'
9715.46222406,-3223.63837458,'Gerplex *Oficines'
9685.32696989,-1765.30043668,'ECONATUR S.L.'
8384.56091461,-3547.16553307,'Marie Brizard'
11013.0254508,1796.15109992,'Mercat de La Barceloneta'
10138.3763332,656.697567654,'Mercat de Sant Josep - La Boqueria'
10828.8271407,658.515646278,'Mercat de Santa Caterina'
10999.364869,-601.542153563,'Mercat de La Concepció'
12263.642179,-939.368752849,'Mercat de la Sagrada Família'
9525.08991871,-849.810341489,'Mercat del Ninot'
9429.60059178,282.241180402,'Mercat de Sant Antoni'
7907.46426912,-463.396423242,'Mercat d'Hostafrancs'
7272.38095955,-1022.14497416,'Mercat de Sants'
6478.66508934,433.729440208,'Mercat de La Marina'
7763.58116343,-1992.89638914,'Mercat de Les Corts'
9571.84130457,-2177.64865424,'Mercat de Galvany'
8448.81317509,-3772.73840394,'Mercat de Sarrià'
9086.61498296,-3162.5436659,'Mercat de Les Tres Torres'
9964.77836932,-3189.57340542,'Mercat de Sant Gervasi'
10940.4710418,-1697.87283179,'Mercat de l'Abaceria Central'
11040.3145814,-2672.51819189,'Mercat de Lesseps'
9429.60059178,282.241180402,'Mercat Encants de Sant Antoni'
12416.8309724,-64.5912426359,'Mercat Encants Vells Fira de Bellcaire'
-3479107.80735,3000800.18571,
-3479107.80735,3000800.18571,
-3479107.80735,3000800.18571,
-3479107.80735,3000800.18571,
-3479107.80735,3000800.18571,
-3479107.80735,3000800.18571,
-3479107.80735,3000800.18571,
-3479107.80735,3000800.18571,
-3479107.80735,3000800.18571,
-3479107.80735,3000800.18571,
-3479107.80735,3000800.18571,
-3479107.80735,3000800.18571,
-3479107.80735,3000800.18571,
-3479107.80735,3000800.18571,
-3479107.80735,3000800.18571,
-3479107.80735,3000800.18571,
-3479107.80735,3000800.18571,
-3479107.80735,3000800.18571,
-3479107.80735,3000800.18571,
-3479107.80735,3000800.18571,
-3479107.80735,3000800.18571,
-3479107.80735,3000800.18571,
-3479107.80735,3000800.18571,
-3479107.80735,3000800.18571,
-3479107.80735,3000800.18571,
-3479107.80735,3000800.18571,
-3479107.80735,3000800.18571,
-3479107.80735,3000800.18571,
-3479107.80735,3000800.18571,
-3479107.80735,3000800.18571,
-3479107.80735,3000800.18571,
-3479107.80735,3000800.18571,
-3479107.80735,3000800.18571,
-3479107.80735,3000800.18571,
-3479107.80735,3000800.18571,
-3479107.80735,3000800.18571,
-3479107.80735,3000800.18571,
-3479107.80735,3000800.18571,
-3479107.80735,3000800.18571,
-3479107.80735,3000800.18571,
-3479107.80735,3000800.18571,
-3479107.80735,3000800.18571,
-3479107.80735,3000800.18571,
-3479107.80735,3000800.18571,
